crab,sat,y,weight,width,color,spine,width_C
1,8,1,3.05,28.3,2,3,"[28.25, 29.25)"
2,0,0,1.55,22.5,3,3,"[0.0, 23.25)"
3,9,1,2.3,26.0,1,1,"[25.25, 26.25)"
4,0,0,2.1,24.8,3,3,"[24.25, 25.25)"
5,4,1,2.6,26.0,3,3,"[25.25, 26.25)"
6,0,0,2.1,23.8,2,3,"[23.25, 24.25)"
7,0,0,2.35,26.5,1,1,"[26.25, 27.25)"
8,0,0,1.9,24.7,3,2,"[24.25, 25.25)"
9,0,0,1.95,23.7,2,1,"[23.25, 24.25)"
10,0,0,2.15,25.6,3,3,"[25.25, 26.25)"
11,0,0,2.15,24.3,3,3,"[24.25, 25.25)"
12,0,0,2.65,25.8,2,3,"[25.25, 26.25)"
13,11,1,3.05,28.2,2,3,"[27.25, 28.25)"
14,0,0,1.85,21.0,4,2,"[0.0, 23.25)"
15,14,1,2.3,26.0,2,1,"[25.25, 26.25)"
16,8,1,2.95,27.1,1,1,"[26.25, 27.25)"
17,1,1,2.0,25.2,2,3,"[24.25, 25.25)"
18,1,1,3.0,29.0,2,3,"[28.25, 29.25)"
19,0,0,2.2,24.7,4,3,"[24.25, 25.25)"
20,5,1,2.7,27.4,2,3,"[27.25, 28.25)"
21,4,1,1.95,23.2,2,2,"[0.0, 23.25)"
22,3,1,2.3,25.0,1,2,"[24.25, 25.25)"
23,1,1,1.6,22.5,2,1,"[0.0, 23.25)"
24,2,1,2.6,26.7,3,3,"[26.25, 27.25)"
25,3,1,2.0,25.8,4,3,"[25.25, 26.25)"
26,0,0,1.3,26.2,4,3,"[25.25, 26.25)"
27,3,1,3.15,28.7,2,3,"[28.25, 29.25)"
28,5,1,2.7,26.8,2,1,"[26.25, 27.25)"
29,0,0,2.6,27.5,4,3,"[27.25, 28.25)"
30,0,0,2.1,24.9,2,3,"[24.25, 25.25)"
31,4,1,3.2,29.3,1,1,"[29.25, 34.5)"
32,0,0,2.6,25.8,1,3,"[25.25, 26.25)"
33,0,0,2.0,25.7,2,2,"[25.25, 26.25)"
34,8,1,2.0,25.7,2,1,"[25.25, 26.25)"
35,5,1,2.7,26.7,2,1,"[26.25, 27.25)"
36,0,0,1.85,23.7,4,3,"[23.25, 24.25)"
37,0,0,2.65,26.8,2,3,"[26.25, 27.25)"
38,6,1,3.15,27.5,2,3,"[27.25, 28.25)"
39,0,0,1.9,23.4,4,3,"[23.25, 24.25)"
40,6,1,2.8,27.9,2,3,"[27.25, 28.25)"
41,3,1,3.1,27.5,3,3,"[27.25, 28.25)"
42,5,1,2.8,26.1,1,1,"[25.25, 26.25)"
43,6,1,2.5,27.7,1,1,"[27.25, 28.25)"
44,5,1,3.3,30.0,2,1,"[29.25, 34.5)"
45,9,1,3.25,28.5,3,1,"[28.25, 29.25)"
46,4,1,2.8,28.9,3,3,"[28.25, 29.25)"
47,6,1,2.6,28.2,2,3,"[27.25, 28.25)"
48,4,1,2.1,25.0,2,3,"[24.25, 25.25)"
49,3,1,3.0,28.5,2,3,"[28.25, 29.25)"
50,3,1,3.6,30.3,2,1,"[29.25, 34.5)"
51,5,1,2.1,24.7,4,3,"[24.25, 25.25)"
52,5,1,2.9,27.7,2,3,"[27.25, 28.25)"
53,6,1,2.7,27.4,1,1,"[27.25, 28.25)"
54,4,1,1.6,22.9,2,3,"[0.0, 23.25)"
55,5,1,2.0,25.7,2,1,"[25.25, 26.25)"
56,15,1,3.0,28.3,2,3,"[28.25, 29.25)"
57,3,1,2.7,27.2,2,3,"[26.25, 27.25)"
58,3,1,2.3,26.2,3,3,"[25.25, 26.25)"
59,0,0,2.75,27.8,2,1,"[27.25, 28.25)"
60,0,0,2.25,25.5,4,3,"[25.25, 26.25)"
61,0,0,2.55,27.1,3,3,"[26.25, 27.25)"
62,5,1,2.05,24.5,3,3,"[24.25, 25.25)"
63,3,1,2.45,27.0,3,1,"[26.25, 27.25)"
64,5,1,2.15,26.0,2,3,"[25.25, 26.25)"
65,1,1,2.8,28.0,2,3,"[27.25, 28.25)"
66,8,1,3.05,30.0,2,3,"[29.25, 34.5)"
67,10,1,3.2,29.0,2,3,"[28.25, 29.25)"
68,0,0,2.4,26.2,2,3,"[25.25, 26.25)"
69,0,0,1.3,26.5,2,1,"[26.25, 27.25)"
70,3,1,2.4,26.2,2,3,"[25.25, 26.25)"
71,7,1,2.8,25.6,3,3,"[25.25, 26.25)"
72,1,1,1.65,23.0,3,3,"[0.0, 23.25)"
73,0,0,1.8,23.0,3,3,"[0.0, 23.25)"
74,6,1,2.25,25.4,2,3,"[25.25, 26.25)"
75,0,0,1.9,24.2,3,3,"[23.25, 24.25)"
76,0,0,1.6,22.9,2,2,"[0.0, 23.25)"
77,3,1,2.2,26.0,3,2,"[25.25, 26.25)"
78,4,1,2.25,25.4,2,3,"[25.25, 26.25)"
79,0,0,1.2,25.7,3,3,"[25.25, 26.25)"
80,5,1,2.1,25.1,2,3,"[24.25, 25.25)"
81,0,0,2.25,24.5,3,2,"[24.25, 25.25)"
82,0,0,2.9,27.5,4,3,"[27.25, 28.25)"
83,0,0,1.65,23.1,3,3,"[0.0, 23.25)"
84,4,1,2.55,25.9,3,1,"[25.25, 26.25)"
85,0,0,2.3,25.8,2,3,"[25.25, 26.25)"
86,3,1,2.25,27.0,4,3,"[26.25, 27.25)"
87,0,0,3.05,28.5,2,3,"[28.25, 29.25)"
88,0,0,2.75,25.5,4,1,"[25.25, 26.25)"
89,0,0,1.9,23.5,4,3,"[23.25, 24.25)"
90,0,0,1.7,24.0,2,2,"[23.25, 24.25)"
91,5,1,3.85,29.7,2,1,"[29.25, 34.5)"
92,0,0,2.55,26.8,2,1,"[26.25, 27.25)"
93,0,0,2.45,26.7,4,3,"[26.25, 27.25)"
94,0,0,3.2,28.7,2,1,"[28.25, 29.25)"
95,0,0,1.55,23.1,3,3,"[0.0, 23.25)"
96,1,1,2.8,29.0,2,1,"[28.25, 29.25)"
97,0,0,2.25,25.5,3,3,"[25.25, 26.25)"
98,1,1,1.9669999999999999,26.5,3,3,"[26.25, 27.25)"
99,1,1,2.2,24.5,3,3,"[24.25, 25.25)"
100,1,1,3.0,28.5,3,3,"[28.25, 29.25)"
101,1,1,2.867,28.2,2,3,"[27.25, 28.25)"
102,1,1,1.6,24.5,2,3,"[24.25, 25.25)"
103,1,1,2.55,27.5,2,3,"[27.25, 28.25)"
104,4,1,2.55,24.7,2,2,"[24.25, 25.25)"
105,1,1,2.0,25.2,2,1,"[24.25, 25.25)"
106,1,1,2.9,27.3,3,3,"[27.25, 28.25)"
107,1,1,2.4,26.3,2,3,"[26.25, 27.25)"
108,1,1,3.1,29.0,2,3,"[28.25, 29.25)"
109,2,1,1.9,25.3,2,3,"[25.25, 26.25)"
110,4,1,2.3,26.5,2,3,"[26.25, 27.25)"
111,3,1,3.25,27.8,2,3,"[27.25, 28.25)"
112,6,1,2.5,27.0,2,3,"[26.25, 27.25)"
113,0,0,2.1,25.7,3,3,"[25.25, 26.25)"
114,2,1,2.1,25.0,2,3,"[24.25, 25.25)"
115,2,1,3.325,31.9,2,3,"[29.25, 34.5)"
116,0,0,1.8,23.7,4,3,"[23.25, 24.25)"
117,12,1,3.225,29.3,4,3,"[29.25, 34.5)"
118,0,0,1.4,22.0,3,3,"[0.0, 23.25)"
119,5,1,2.4,25.0,2,3,"[24.25, 25.25)"
120,6,1,2.5,27.0,3,3,"[26.25, 27.25)"
121,6,1,1.8,23.8,3,3,"[23.25, 24.25)"
122,2,1,3.275,30.2,1,1,"[29.25, 34.5)"
123,0,0,2.225,26.2,3,3,"[25.25, 26.25)"
124,2,1,1.65,24.2,2,3,"[23.25, 24.25)"
125,3,1,2.9,27.4,2,3,"[27.25, 28.25)"
126,0,0,2.3,25.4,2,2,"[25.25, 26.25)"
127,3,1,3.2,28.4,3,3,"[28.25, 29.25)"
128,4,1,1.475,22.5,4,3,"[0.0, 23.25)"
129,2,1,2.025,26.2,2,3,"[25.25, 26.25)"
130,6,1,2.3,24.9,2,1,"[24.25, 25.25)"
131,6,1,1.95,24.5,1,2,"[24.25, 25.25)"
132,0,0,1.8,25.1,2,3,"[24.25, 25.25)"
133,4,1,2.9,28.0,2,1,"[27.25, 28.25)"
134,10,1,2.25,25.8,4,3,"[25.25, 26.25)"
135,7,1,3.05,27.9,2,3,"[27.25, 28.25)"
136,0,0,2.2,24.9,2,3,"[24.25, 25.25)"
137,5,1,3.1,28.4,2,1,"[28.25, 29.25)"
138,5,1,2.4,27.2,3,3,"[26.25, 27.25)"
139,6,1,2.25,25.0,2,2,"[24.25, 25.25)"
140,6,1,2.625,27.5,2,3,"[27.25, 28.25)"
141,7,1,5.2,33.5,2,1,"[29.25, 34.5)"
142,3,1,3.325,30.5,2,3,"[29.25, 34.5)"
143,3,1,2.925,29.0,3,3,"[28.25, 29.25)"
144,0,0,2.0,24.3,2,1,"[24.25, 25.25)"
145,0,0,2.4,25.8,2,3,"[25.25, 26.25)"
146,8,1,2.1,25.0,4,3,"[24.25, 25.25)"
147,4,1,3.725,31.7,2,1,"[29.25, 34.5)"
148,4,1,3.025,29.5,2,3,"[29.25, 34.5)"
