switch,arsenic,distance,assoc,education,distance100,education4
1,2.36,16.826000213623,0,0,0.16826000213623002,0
1,0.71,47.3219985961914,0,0,0.473219985961914,0
0,2.07,20.966999053955103,0,10,0.20966999053955104,2
1,1.15,21.4860000610352,0,12,0.214860000610352,2
1,1.1,40.8740005493164,1,14,0.40874000549316397,3
1,3.9,69.5179977416992,1,9,0.695179977416992,2
1,2.97,80.71099853515629,1,4,0.807109985351563,1
1,3.24,55.145999908447294,0,10,0.551459999084473,2
1,3.28,52.646999359130895,1,0,0.526469993591309,0
1,2.52,75.0719985961914,1,0,0.750719985961914,0
1,3.13,29.774000167846697,1,5,0.297740001678467,1
1,3.04,34.504001617431605,0,0,0.34504001617431607,0
1,2.91,63.80400085449221,1,0,0.638040008544922,0
1,3.21,73.6039962768555,1,0,0.736039962768555,0
1,1.7,67.65499877929689,1,0,0.6765499877929689,0
1,1.8,80.6600036621094,1,7,0.806600036621094,1
1,1.44,52.181999206543,0,7,0.52181999206543,1
1,1.43,52.181999206543,1,7,0.52181999206543,1
1,2.33,50.534000396728494,1,0,0.505340003967285,0
1,2.83,31.422000885009798,0,10,0.314220008850098,2
1,1.79,33.0089988708496,1,7,0.33008998870849604,1
1,2.54,37.870998382568395,0,0,0.37870998382568394,0
1,2.25,48.37300109863279,1,5,0.4837300109863279,1
1,2.42,47.308998107910206,0,0,0.47308998107910205,0
1,1.62,67.78500366210939,0,8,0.6778500366210939,1
1,2.34,81.13800048828129,1,8,0.8113800048828129,1
1,3.49,95.4599990844727,0,10,0.954599990844727,2
1,2.13,114.417999267578,0,16,1.14417999267578,3
1,0.93,157.628997802734,1,10,1.57628997802734,2
1,3.36,151.919998168945,1,10,1.51919998168945,2
1,1.49,107.69100189209,0,10,1.0769100189209,2
1,0.83,105.667999267578,0,10,1.05667999267578,2
1,1.37,105.62599945068399,1,0,1.0562599945068398,0
0,2.8,107.69100189209,0,0,1.0769100189209,0
0,0.81,107.69100189209,0,0,1.0769100189209,0
1,1.48,125.317001342773,1,3,1.25317001342773,1
0,1.92,107.69100189209,1,0,1.0769100189209,0
1,2.74,107.69100189209,0,10,1.0769100189209,2
1,2.49,107.69100189209,1,0,1.0769100189209,0
0,3.95,107.69100189209,0,0,1.0769100189209,0
1,2.75,107.69100189209,0,0,1.0769100189209,0
1,2.91,54.5699996948242,0,0,0.545699996948242,0
1,0.83,54.5699996948242,0,0,0.545699996948242,0
1,3.67,54.5699996948242,1,5,0.545699996948242,1
1,2.9,54.5699996948242,0,0,0.545699996948242,0
1,0.78,54.5699996948242,1,10,0.545699996948242,2
0,2.52,3.61800003051758,1,5,0.0361800003051758,1
1,2.48,58.1669998168945,0,0,0.581669998168945,0
1,4.47,72.3460006713867,0,8,0.723460006713867,1
1,1.52,40.318000793456996,0,0,0.40318000793457,0
1,1.8,67.2190017700195,0,0,0.672190017700195,0
0,0.51,99.01300048828129,0,0,0.9901300048828129,0
1,0.64,115.91300201416,1,0,1.1591300201416,0
1,1.01,71.7990036010742,1,5,0.7179900360107421,1
1,0.74,141.535995483398,0,8,1.4153599548339801,1
1,1.81,84.6460037231445,1,0,0.846460037231445,0
1,2.69,65.931999206543,0,0,0.65931999206543,0
1,4.85,67.94000244140629,1,0,0.6794000244140629,0
1,3.18,64.697998046875,0,6,0.64697998046875,1
1,5.06,62.6349983215332,1,10,0.6263499832153321,2
1,2.69,47.909000396728494,0,10,0.47909000396728496,2
1,0.57,24.0030002593994,0,12,0.24003000259399399,2
1,4.55,17.982000350952102,0,7,0.17982000350952101,1
0,3.91,11.147000312805199,1,6,0.11147000312805198,1
1,0.89,39.9770011901855,1,5,0.39977001190185496,1
0,1.0,69.1309967041016,0,0,0.6913099670410161,0
1,0.95,37.6529998779297,1,0,0.376529998779297,0
1,3.55,32.070999145507805,1,7,0.32070999145507806,1
1,4.52,19.0839996337891,0,5,0.190839996337891,1
1,4.76,23.912000656127898,0,0,0.23912000656127896,0
1,1.99,28.559999465942397,1,5,0.285599994659424,1
0,2.85,21.9650001525879,0,0,0.21965000152587902,0
0,0.81,91.0070037841797,0,0,0.910070037841797,0
1,2.85,26.513000488281303,1,8,0.265130004882813,1
1,2.18,23.323999404907198,0,3,0.23323999404907197,1
1,4.23,31.591999053955103,0,5,0.31591999053955105,1
1,1.92,31.323999404907198,1,0,0.313239994049072,0
1,1.63,38.8489990234375,0,8,0.388489990234375,1
1,5.45,9.12600040435791,1,0,0.0912600040435791,0
0,1.57,19.381999969482397,0,8,0.19381999969482397,1
1,1.94,12.461000442504899,0,8,0.12461000442504899,1
1,1.58,14.937000274658198,0,0,0.14937000274658196,0
1,0.67,13.2189998626709,1,5,0.132189998626709,1
1,1.4,6.82999992370605,0,5,0.0682999992370605,1
0,1.18,30.4060001373291,1,3,0.30406000137329103,1
0,0.77,18.5510005950928,1,5,0.18551000595092798,1
0,0.77,24.8290004730225,0,0,0.248290004730225,0
1,1.44,28.6709995269775,0,12,0.286709995269775,2
0,0.77,20.871000289917,1,5,0.20871000289917,1
1,0.77,20.1200008392334,1,0,0.20120000839233398,0
0,0.73,13.4940004348755,1,5,0.134940004348755,1
1,1.9,19.1919994354248,0,0,0.191919994354248,0
0,0.72,28.645999908447298,0,8,0.28645999908447295,1
0,0.88,16.1660003662109,0,0,0.16166000366210898,0
0,1.04,27.42799949646,0,5,0.2742799949646,1
0,1.21,15.83899974823,1,0,0.1583899974823,0
1,1.44,14.4180002212524,1,5,0.144180002212524,1
0,0.64,29.277999877929698,1,14,0.292779998779297,3
0,0.8,43.944000244140604,1,14,0.439440002441406,3
1,1.93,20.229999542236303,0,0,0.20229999542236304,0
0,0.56,50.0919990539551,0,5,0.5009199905395509,1
0,1.32,66.879997253418,0,5,0.66879997253418,1
0,0.52,69.4820022583008,0,3,0.6948200225830079,1
0,1.19,48.7080001831055,1,5,0.487080001831055,1
0,1.18,22.635999679565398,1,12,0.22635999679565397,2
0,1.26,10.1230001449585,0,5,0.101230001449585,1
0,0.88,42.8279991149902,0,8,0.428279991149902,1
0,3.16,21.0890007019043,0,5,0.210890007019043,1
0,2.12,47.534000396728494,0,5,0.47534000396728493,1
1,0.76,15.7119998931885,0,5,0.157119998931885,1
0,0.56,12.1850004196167,0,5,0.121850004196167,1
0,0.62,23.5590000152588,0,0,0.235590000152588,0
1,1.03,1.84800004959106,0,5,0.0184800004959106,1
0,0.78,90.9209976196289,0,5,0.9092099761962891,1
0,1.02,93.8280029296875,1,5,0.938280029296875,1
0,0.65,82.1060028076172,1,9,0.8210600280761721,2
1,2.29,46.9560012817383,1,3,0.469560012817383,1
1,1.6,24.2099990844727,1,4,0.242099990844727,1
1,0.82,43.290000915527294,0,5,0.43290000915527294,1
1,1.44,25.1469993591309,0,10,0.251469993591309,2
1,0.97,14.604000091552699,0,0,0.146040000915527,0
0,0.89,1.40100002288818,0,8,0.0140100002288818,1
1,1.39,8.21000003814697,0,12,0.08210000038146971,2
1,0.83,18.868000030517603,0,0,0.18868000030517604,0
1,0.57,23.4009990692139,0,0,0.23400999069213899,0
1,1.47,18.5319995880127,1,9,0.185319995880127,2
1,1.11,36.2869987487793,0,10,0.362869987487793,2
1,2.38,40.4980010986328,0,12,0.40498001098632797,2
0,3.97,90.5709991455078,0,0,0.905709991455078,0
1,3.51,115.157997131348,1,3,1.15157997131348,1
0,3.69,112.762001037598,1,0,1.12762001037598,0
1,2.95,93.43099975585942,1,0,0.9343099975585942,0
0,3.21,97.2170028686523,0,0,0.972170028686523,0
1,3.65,88.34500122070308,1,0,0.8834500122070308,0
1,4.42,41.1040000915527,1,5,0.411040000915527,1
1,4.12,46.2400016784668,0,3,0.46240001678466797,1
1,3.62,65.3539962768555,1,3,0.653539962768555,1
1,3.8,43.7350006103516,1,2,0.437350006103516,1
1,4.46,61.57099914550779,0,5,0.6157099914550779,1
1,4.04,78.4150009155273,1,0,0.784150009155273,0
1,3.32,63.50199890136721,0,5,0.6350199890136721,1
0,2.07,69.2689971923828,1,5,0.692689971923828,1
1,1.43,57.92900085449221,1,6,0.5792900085449221,1
1,2.3,85.3870010375977,0,5,0.853870010375977,1
1,1.41,110.60900115966801,0,5,1.10609001159668,1
1,2.34,111.48999786377001,1,0,1.1148999786377,0
1,1.5,176.19700622558602,0,0,1.7619700622558603,0
0,1.44,172.108001708984,0,0,1.7210800170898402,0
0,1.54,177.80299377441398,0,0,1.7780299377441398,0
1,1.35,22.6709995269775,1,0,0.226709995269775,0
1,0.54,27.8810005187988,1,5,0.278810005187988,1
1,1.17,19.2600002288818,0,8,0.19260000228881802,1
0,1.02,24.5,0,0,0.245,0
1,1.11,6.63299989700317,0,5,0.06632999897003171,1
0,0.52,7.04099988937378,0,10,0.07040999889373781,2
0,0.56,30.3139991760254,1,8,0.303139991760254,1
1,0.61,21.979000091552702,1,0,0.21979000091552703,0
1,2.17,10.458000183105499,1,5,0.104580001831055,1
0,0.61,74.9990005493164,0,5,0.7499900054931641,1
1,0.96,81.9710006713867,1,3,0.8197100067138671,1
1,0.94,92.1760025024414,1,5,0.921760025024414,1
1,0.93,106.60800170898399,1,3,1.06608001708984,1
